Sr. No.,Institute Code,Institute Name,City,CAP-IV PDF,Source URL
1,01002,"Government College of Engineering, Amravati",Amravati,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_01002.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
2,01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_01005.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
5,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_01105.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
6,01107,"P. R. Pote Patil College of Engineering & Management, Amravati",Amravati,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_01107.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
7,01114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_01114.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
12,01121,"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Amravati,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_01121.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
13,01123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Amravati,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_01123.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
15,01126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",Amravati,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_01126.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
23,01276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",Nagpur,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_01276.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
28,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_02032.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
64,03012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03012.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
68,03035,"Usha Mittal Institute of Technology SNDT  Women's University, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03035.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
69,03036,"Institute of Chemical Technology, Matunga, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03036.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
71,03135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03135.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
72,03139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03139.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
73,03143,"Thakur Shyamnarayan Engineering College, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03143.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
74,03146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03146.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
76,03148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03148.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
77,03154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03154.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
78,03175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03175.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
79,03176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03176.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
80,03182,"Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03182.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
81,03183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03183.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
82,03184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03184.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
83,03185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03185.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
84,03187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03187.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
85,03188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03188.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
86,03189,"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03189.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
87,03190,"Terna Engineering College, Nerul, Navi Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03190.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
88,03192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03192.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
89,03193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03193.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
91,03196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03196.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
92,03197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03197.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
94,03199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03199.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
96,03201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03201.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
98,03203,"Atharva College of Engineering,Malad(West),Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03203.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
99,03204,"St. Francis Institute of Technology,Borivali, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03204.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
102,03208,"Don Bosco Institute of Technology, Mumbai",Mumbai,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_03208.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
